country,city
Japan,Tokyo
Indonesia,Jakarta
India,Delhi
India,Mumbai
Philippines,Manila
China,Shanghai
Brazil,SÃ£o Paulo
"Korea, South",Seoul
Mexico,Mexico City
China,Guangzhou
China,Beijing
Egypt,Cairo
United States,New York
India,KolkÄta
Russia,Moscow
Thailand,Bangkok
Argentina,Buenos Aires
China,Shenzhen
Bangladesh,Dhaka
Nigeria,Lagos
Turkey,Istanbul
Japan,ÅŒsaka
Pakistan,Karachi
India,Bangalore
Iran,Tehran
Congo (Kinshasa),Kinshasa
Vietnam,Ho Chi Minh City
United States,Los Angeles
Brazil,Rio de Janeiro
China,Nanyang
India,Chennai
China,Chengdu
Pakistan,Lahore
France,Paris
United Kingdom,London
China,Linyi
China,Tianjin
China,Shijiazhuang
China,Baoding
China,Zhoukou
Peru,Lima
India,HyderÄbÄd
Colombia,BogotÃ¡
China,Weifang
Japan,Nagoya
China,Wuhan
China,Heze
China,Ganzhou
China,Tongshan
United States,Chicago
China,Handan
Angola,Luanda
China,Fuyang
Malaysia,Kuala Lumpur
China,Jining
China,Dongguan
Vietnam,Hanoi
India,Pune
China,Chongqing
China,Changchun
China,Zhumadian
China,Ningbo
Nigeria,Onitsha
China,Nanjing
China,Hefei
India,AhmadÄbÄd
Hong Kong,Hong Kong
Sudan,Khartoum
China,Nantong
China,Yancheng
China,Foshan
China,Nanning
China,Hengyang
China,Xiâ€™an
China,Shenyang
China,Tangshan
China,Shaoyang
China,Changsha
Chile,Santiago
China,Zhengzhou
China,Zhanjiang
Saudi Arabia,Riyadh
China,Cangzhou
Tanzania,Dar es Salaam
China,Maoming
China,Huanggang
China,Xinyang
China,Shangrao
China,Luoyang
China,Bijie
China,Yantai
China,Quanzhou
China,Hangzhou
United States,Miami
China,Kunming
China,Nanchong
China,Zunyi
China,Luâ€™an
China,Yichun
China,Taizhou
China,Liaocheng
China,Qujing
China,Xiangyang
India,SÅ«rat
Iraq,Baghdad
China,Qingdao
Singapore,Singapore
United States,Dallas
China,Changde
China,Dazhou
China,Suzhou
United States,Philadelphia
China,Jieyang
Kenya,Nairobi
China,Nangandao
Turkey,Ankara
China,Taiâ€™an
China,Yulin
China,Dezhou
United States,Houston
United States,Atlanta
Burma,Rangoon
Canada,Toronto
China,Suihua
United States,Washington
China,Qiqihar
China,Jinhua
Russia,Saint Petersburg
China,Shantou
Australia,Sydney
China,Weinan
China,Suqian
Mexico,Guadalajara
China,Suzhou
China,Fuzhou
China,Zhaotong
China,Pudong
China,Yongzhou
Brazil,Belo Horizonte
China,Zhangzhou
China,Bozhou
Australia,Melbourne
China,Nanchang
China,Xianyang
China,Taizhou
Indonesia,Surabaya
CÃ´te Dâ€™Ivoire,Abidjan
China,Jiâ€™an
China,Mianyang
China,Shaoxing
Egypt,Alexandria
China,Yuncheng
China,Pingdingshan
China,Huaiâ€™an
China,Xinpu
China,Guilin
China,Huaihua
China,Jiujiang
China,Anqing
United States,Boston
China,Huanglongsi
China,Xiaoganzhan
China,Changzhou
Spain,Barcelona
China,Chenzhou
China,Wuxi
China,Zibo
China,Jiaxing
China,Dalian
China,Harbin
China,Yangzhou
China,Yibin
China,Jiangmen
South Africa,Johannesburg
China,Meizhou
China,Chifeng
Morocco,Casablanca
China,Guiyang
China,Langfang
China,Zhangjiakou
Turkey,Ä°zmir
China,Linfen
China,Wenzhou
Mexico,Monterrey
China,Luzhou
China,Jiangguanchi
China,Neijiang
United States,Phoenix
China,Yanjiang
China,Yiyang
China,Zhaoqing
China,Hengshui
China,Guigang
China,Xiaoxita
China,Xiamen
China,Chuzhou
China,Fuzhou
Jordan,Amman
Saudi Arabia,Jeddah
Pakistan,Sialkot City
China,Huizhou
China,Qingyuan
China,Zhuzhou
China,Wuhu
China,Hechi
United States,Seattle
China,Loudi
China,Binzhou
China,Liuzhou
Japan,Yokohama
China,Baojishi
China,Guangâ€™an
China,Hanzhong
Afghanistan,Kabul
China,Zaozhuang
Germany,Berlin
China,Anshan
China,Deyang
China,Lanzhou
China,Chengde
United States,San Francisco
China,Puyang
China,Suining
China,Jiaozuo
China,Bengbu
Canada,MontrÃ©al
United States,Detroit
China,Baicheng
"Korea, South",Busan
Algeria,Algiers
China,Qincheng
China,Taiyuan
India,Lucknow
China,Chaoyang
China,Hechi
China,Leshan
China,Yulinshi
China,Siping
Spain,Madrid
China,Jinan
China,Shiyan
China,Changzhi
United States,San Diego
Pakistan,Faisalabad
Bolivia,Santa Cruz
China,Bazhou
China,Zhongshan
China,Zhenjiang
China,ÃœrÃ¼mqi
China,Tongliao
China,Heyuan
China,Tongren
China,Qinzhou
India,Jaipur
China,Xinzhou
Ethiopia,Addis Ababa
Egypt,Giza
China,Meishan
Brazil,BrasÃ­lia
Iran,Mashhad
China,Jinzhou
China,Tieling
China,Shaoguan
China,Shanwei
United States,Minneapolis
Ukraine,Kyiv
Yemen,Sanaa
Philippines,Quezon City
China,Dingxi
Brazil,Salvador
"Korea, South",Incheon
Turkey,Bursa
China,Ningde
United States,Tampa
China,Daqing
United Kingdom,Birmingham
China,Putian
China,Huzhou
China,Wuzhou
United States,Denver
Italy,Rome
Bolivia,La Paz
"Korea, North",Pyongyang
Nigeria,Kano
Taiwan,Taichung
Sudan,Omdurman
China,Zigong
China,Qinhuangdao
China,Mudanjiang
China,Huludao
Taiwan,Kaohsiung
China,Xiangtan
Ecuador,Guayaquil
China,Rizhao
United Kingdom,Manchester
India,Cawnpore
China,Baotou
Taiwan,Taipei
China,Nanping
China,Longyan
Nigeria,Ibadan
China,Hohhot
China,Chaozhou
Madagascar,Antananarivo
China,Longba
China,Weihai
Bangladesh,Chattogram
Dominican Republic,Santo Domingo
China,Xuanzhou
China,Sanming
United States,Brooklyn
Colombia,MedellÃ­n
Australia,Brisbane
China,Baoshan
United Arab Emirates,Dubai
China,Luohe
China,Qinbaling
India,MirzÄpur
China,Guangyuan
Colombia,Cali
"Korea, South",Daegu
Brazil,Fortaleza
Guatemala,Guatemala City
Cameroon,YaoundÃ©
Cameroon,Douala
China,Jilin
China,Lianshan
China,Lincang
Turkey,Antalya
Uzbekistan,Tashkent
China,Huangshi
Indonesia,Bandung
India,NÄgpur
China,Dandong
China,Huainan
China,Shangzhou
Indonesia,Bekasi
India,GhÄziÄbÄd
Mexico,Tijuana
China,Jiamusi
China,Yangjiang
Ghana,Accra
China,Yuxi
China,Fushun
China,Anshun
Canada,Vancouver
Indonesia,Tangerang
Turkey,Konya
United States,Queens
China,Yingkou
Turkey,Adana
Indonesia,Medan
China,Sanmenxia
India,Indore
China,Maâ€™anshan
China,Pingliang
China,Quzhou
Azerbaijan,Baku
China,Gaoping
China,Huaibei
China,Xining
China,Yanâ€™an
Cuba,Havana
Cambodia,Phnom Penh
Japan,Fukuoka
Somalia,Mogadishu
China,Jincheng
China,Lishui
China,Qingyang
United States,Riverside
United States,Baltimore
Vietnam,Haiphong
United States,Las Vegas
China,Laibin
Pakistan,Rawalpindi
Ghana,Kumasi
United States,Portland
India,Vadodara
Australia,Perth
China,Puning
United States,San Antonio
China,Haikou
India,VishÄkhapatnam
Turkey,Gaziantep
Belarus,Minsk
United States,St. Louis
Mali,Bamako
Ecuador,Quito
China,Pingxiang
China,Chongzuo
Turkey,ÅžanlÄ±urfa
Congo (Kinshasa),Kananga
Pakistan,Peshawar
Japan,Sapporo
China,Jixi
Venezuela,Caracas
China,Fuxin
United Kingdom,Leeds
United States,Sacramento
Malawi,Blantyre
Taiwan,Tainan
Romania,Bucharest
China,Wuwei
India,BhopÄl
Brazil,Curitiba
China,Xiping
Paraguay,AsunciÃ³n
Pakistan,Saidu Sharif
Austria,Vienna
Syria,Aleppo
Germany,Hamburg
Kenya,Meru
Congo (Brazzaville),Brazzaville
United States,Orlando
Turkey,Mersin
Kazakhstan,Almaty
Colombia,Barranquilla
Japan,KyÅto
Brazil,Manaus
China,Liaoyang
China,Baiyin
United States,San Jose
Poland,Warsaw
China,Shengli
Congo (Kinshasa),Lubumbashi
Syria,Damascus
China,Shuyangzha
China,Shangqiu
Iran,EÅŸfahÄn
Hungary,Budapest
China,Heihe
Zambia,Lusaka
Turkey,DiyarbakÄ±r
India,Chinchvad
China,Shuozhou
Brazil,VitÃ³ria
United States,Cleveland
United States,Pittsburgh
Saudi Arabia,Mecca
India,Patna
Iraq,Mosul
United States,Austin
China,Sanzhou
Guinea,Conakry
Uganda,Kampala
Mexico,Ecatepec
United States,Cincinnati
Indonesia,Makassar
China,Yushan
India,LudhiÄna
United Kingdom,Newcastle
Indonesia,Depok
Taiwan,Zhongli
United States,Kansas City
Morocco,Rabat
Burkina Faso,Ouagadougou
Philippines,Davao
United States,Manhattan
Indonesia,Semarang
China,Yinchuan
Pakistan,Multan
Philippines,Caloocan City
Zimbabwe,Harare
Russia,Novosibirsk
China,Chengtangcun
India,Ä€gra
Iran,Karaj
United States,Indianapolis
China,Jingdezhen
Mexico,Puebla
India,KalyÄn
India,Madurai
Pakistan,Gujranwala
China,Benxi
India,Jamshedpur
China,Zhuhai
Brazil,Recife
United States,Columbus
Iran,TabrÄ«z
Dominican Republic,Santiago
Venezuela,Maracaibo
China,Beihai
China,Shuangyashan
Japan,KÅbe
United States,Charlotte
China,Yucheng
China,Changshu
China,Ximeicun
China,Jianguang
"Korea, South",Gwangju
China,Xushan
China,Guiping
India,NÄsik
Brazil,Porto Alegre
China,Zhangjiajie
Venezuela,Valencia
United States,Virginia Beach
"Korea, South",Daejeon
Germany,Munich
Russia,Yekaterinburg
New Zealand,Auckland
China,Yunfu
China,Huangshan
China,Huazhou
Iran,ShÄ«rÄz
Mexico,LeÃ³n de los Aldama
China,Pizhou
Indonesia,Palembang
Ukraine,Kharkiv
Japan,Kawanakajima
China,Lianjiang
China,Chizhou
China,Leizhou
China,Guyuan
China,Ruiâ€™an
United Kingdom,Birstall
Oman,Muscat
China,Hebi
China,Jingling
United States,Bronx
Netherlands,The Hague
Nigeria,Owerri
United Arab Emirates,Sharjah
India,FarÄ«dÄbÄd
Mongolia,Ulaanbaatar
Brazil,GoiÃ¢nia
Brazil,BelÃ©m
Turkey,Kayseri
China,Yueqing
Serbia,Belgrade
China,Pingdu
India,AurangÄbÄd
China,Yutan
China,Wenling
Pakistan,Islamabad
United States,Milwaukee
Italy,Milan
Bulgaria,Sofia
Australia,Adelaide
Turkey,Samsun
India,RÄjkot
Bangladesh,Khulna
Argentina,CÃ³rdoba
Brazil,Guarulhos
Mexico,JuÃ¡rez
Czechia,Prague
Uruguay,Montevideo
Congo (Kinshasa),Mbuji-Mayi
China,Fuqing
China,Xintai
Qatar,Doha
Japan,Saitama
Japan,Hiroshima
India,Meerut
China,Yushu
China,Rongcheng
China,Yangquan
China,Haicheng
China,Gaozhou
China,Yingtan
China,Huaiyin
China,Wuzhong
India,Jabalpur
India,ThÄne
China,Zhangye
China,Rucheng
Russia,Nizhniy Novgorod
Honduras,ComayagÃ¼ela
China,Yangshe
China,Shaoyang
India,DhanbÄd
China,Yichun
China,Laiwu
Russia,Kazan
China,Dayan
"Korea, South",Suwon
China,Jiangyin
China,Yongcheng
Canada,Calgary
Vietnam,Cáº§n ThÆ¡
Nigeria,Abuja
China,Yiwu
Burma,Mandalay
China,Beidao
Iraq,Al BaÅŸrah
China,Shuangshui
Spain,Sevilla
Brazil,Vila Velha
India,AllahÄbÄd
India,VÄrÄnasi
Tunisia,Tunis
Russia,Chelyabinsk
Kenya,Mombasa
United States,Providence
Iran,Qom
Nigeria,Maiduguri
Mozambique,Maputo
Argentina,Rosario
Nigeria,Benin City
China,Xinyu
Iran,AhvÄz
